_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.1,GO:0048732,gland development,M1,1,0
1,-2.8,hsa05165,Human papillomavirus infection,M1,1,0
1,-2.2,GO:1903825,organic acid transmembrane transport,M1,1,0
1,-2,GO:0015850,organic hydroxy compound transport,M1,1,0
1,-4.8,GO:0048514,blood vessel morphogenesis,M1,1,0
1,-2.2,GO:0016042,lipid catabolic process,M1,1,0
1,-4.8,hsa05207,Chemical carcinogenesis - receptor activation,M1,1,0
1,-3,GO:0005975,carbohydrate metabolic process,M1,1,0
1,-4.4,GO:0120254,olefinic compound metabolic process,M1,1,0
1,-3.3,GO:0010565,regulation of ketone metabolic process,M1,1,0
1,-5.2,GO:0007567,parturition,M1,1,0
1,-2.8,GO:0044703,multi-organism reproductive process,M1,1,0
1,-4.9,WP697,Estrogen metabolism,M1,1,0
1,-2.2,GO:0071383,cellular response to steroid hormone stimulus,M1,1,0
1,-2.1,GO:0050806,positive regulation of synaptic transmission,M1,1,0
1,-4.1,GO:0001944,vasculature development,M1,1,0
1,-2,GO:0030856,regulation of epithelial cell differentiation,M1,1,0
1,-2.7,GO:0003013,circulatory system process,M1,1,0
1,-6.8,R-HSA-556833,Metabolism of lipids,M1,1,0
1,-2.9,GO:0036293,response to decreased oxygen levels,M1,1,0
1,-3.7,GO:0071407,cellular response to organic cyclic compound,M1,1,0
1,-5.2,R-HSA-211945,Phase I - Functionalization of compounds,M1,1,0
1,-2.5,hsa04668,TNF signaling pathway,M1,1,0
1,-2.6,WP4321,Thermogenesis,M1,1,0
1,-2.3,GO:1905039,carboxylic acid transmembrane transport,M1,1,0
1,-2.5,GO:0032870,cellular response to hormone stimulus,M1,1,0
1,-11,WP2873,Aryl hydrocarbon receptor pathway,M1,1,0
1,-4.6,GO:0006081,aldehyde metabolic process,M1,1,0
1,-3.1,WP5087,Pleural mesothelioma,M1,1,0
1,-3.1,GO:0071345,cellular response to cytokine stimulus,M1,1,0
1,-2.3,GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,M1,1,0
1,-6.1,GO:0006805,xenobiotic metabolic process,M1,1,0
1,-2.6,hsa04922,Glucagon signaling pathway,M1,1,0
1,-6,GO:0071396,cellular response to lipid,M1,1,0
1,-2.3,GO:1901699,cellular response to nitrogen compound,M1,1,0
1,-2.3,GO:0050727,regulation of inflammatory response,M1,1,0
1,-5.3,WP2586,Aryl hydrocarbon receptor pathway,M1,1,0
1,-3.6,GO:0042908,xenobiotic transport,M1,1,0
1,-5,GO:0001676,long-chain fatty acid metabolic process,M1,1,0
1,-3.2,hsa04150,mTOR signaling pathway,M1,1,0
1,-2.1,hsa05160,Hepatitis C,M1,1,0
1,-2.8,GO:0019216,regulation of lipid metabolic process,M1,1,0
1,-2.1,GO:0034284,response to monosaccharide,M1,1,0
1,-2.1,GO:0006066,alcohol metabolic process,M1,1,0
1,-3.1,GO:0030258,lipid modification,M1,1,0
1,-2.8,M5883,NABA SECRETED FACTORS,M1,1,0
1,-2.4,GO:0032103,positive regulation of response to external stimulus,M1,1,0
1,-2.3,GO:0048511,rhythmic process,M1,1,0
1,-3.2,GO:0031960,response to corticosteroid,M1,1,0
1,-2.1,WP706,Sudden infant death syndrome SIDS susceptibility pathways,M1,1,0
1,-3.7,GO:0071222,cellular response to lipopolysaccharide,M1,1,0
1,-3.4,GO:0045834,positive regulation of lipid metabolic process,M1,1,0
1,-3.4,GO:0009636,response to toxic substance,M1,1,0
1,-3,GO:0051056,regulation of small GTPase mediated signal transduction,M1,1,0
1,-2.9,GO:0097009,energy homeostasis,M1,1,0
1,-4.2,GO:0001523,retinoid metabolic process,M1,1,0
1,-4.5,GO:0032098,regulation of appetite,M1,1,0
1,-3.2,GO:0015711,organic anion transport,M1,1,0
1,-5.6,GO:0008210,estrogen metabolic process,M1,1,0
1,-2.5,GO:0098773,skin epidermis development,M1,1,0
1,-3.5,GO:0042572,retinol metabolic process,M1,1,0
1,-3.2,GO:0097305,response to alcohol,M1,1,0
1,-3,GO:0032890,regulation of organic acid transport,M1,1,0
1,-2.3,GO:0001889,liver development,M1,1,0
1,-3.4,R-HSA-2142753,Arachidonate metabolism,M1,1,0
1,-4.2,GO:0033273,response to vitamin,M1,1,0
1,-2.5,GO:0006006,glucose metabolic process,M1,1,0
1,-3.3,GO:0010817,regulation of hormone levels,M1,1,0
1,-2.3,GO:0007167,enzyme-linked receptor protein signaling pathway,M1,1,0
1,-5.7,GO:0032496,response to lipopolysaccharide,M1,1,0
1,-3.1,GO:0019318,hexose metabolic process,M1,1,0
1,-4.3,R-HSA-8978868,Fatty acid metabolism,M1,1,0
1,-2.5,R-HSA-5668914,Diseases of metabolism,M1,1,0
1,-2.8,GO:0008544,epidermis development,M1,1,0
1,-2.8,GO:0042060,wound healing,M1,1,0
1,-2.7,GO:0009308,amine metabolic process,M1,1,0
1,-4,GO:0005996,monosaccharide metabolic process,M1,1,0
1,-3.2,M5885,NABA MATRISOME ASSOCIATED,M1,1,0
1,-2.7,GO:0043010,camera-type eye development,M1,1,0
1,-3.1,GO:0098739,import across plasma membrane,M1,1,0
1,-2.9,WP2877,Vitamin D receptor pathway,M1,1,0
1,-5.5,GO:0002237,response to molecule of bacterial origin,M1,1,0
1,-2.7,GO:0044282,small molecule catabolic process,M1,1,0
1,-3.8,GO:0019217,regulation of fatty acid metabolic process,M1,1,0
1,-2.3,GO:0009611,response to wounding,M1,1,0
1,-2.3,GO:0040007,growth,M1,1,0
1,-4.1,GO:2001057,reactive nitrogen species metabolic process,M1,1,0
1,-3.6,GO:0071219,cellular response to molecule of bacterial origin,M1,1,0
1,-2.8,GO:0044706,multi-multicellular organism process,M1,1,0
1,-2.8,M3008,NABA ECM GLYCOPROTEINS,M1,1,0
1,-4.3,hsa00980,Metabolism of xenobiotics by cytochrome P450,M1,1,0
1,-2.9,WP702,Metapathway biotransformation Phase I and II,M1,1,0
1,-3.7,GO:0006690,icosanoid metabolic process,M1,1,0
1,-5.8,GO:0006631,fatty acid metabolic process,M1,1,0
1,-3.4,GO:0051384,response to glucocorticoid,M1,1,0
1,-2.7,hsa05231,Choline metabolism in cancer,M1,1,0
1,-2.2,GO:0043588,skin development,M1,1,0
1,-4,R-HSA-400206,Regulation of lipid metabolism by PPARalpha,M1,1,0
1,-4.2,GO:0001568,blood vessel development,M1,1,0
1,-2.5,GO:0032355,response to estradiol,M1,1,0
1,-2.8,GO:0034308,primary alcohol metabolic process,M1,1,0
1,-4.9,GO:0009410,response to xenobiotic stimulus,M1,1,0
1,-3.9,GO:0030522,intracellular receptor signaling pathway,M1,1,0
1,-3.7,GO:0048871,multicellular organismal-level homeostasis,M1,1,0
1,-3.3,hsa00140,Steroid hormone biosynthesis,M1,1,0
1,-3.2,hsa00830,Retinol metabolism,M1,1,0
1,-2.6,GO:0006766,vitamin metabolic process,M1,1,0
1,-2.3,M5884,NABA CORE MATRISOME,M1,1,0
1,-2,GO:0072330,monocarboxylic acid biosynthetic process,M1,1,0
1,-4.5,GO:0042178,xenobiotic catabolic process,M1,1,0
1,-3.4,R-HSA-400253,Circadian Clock,M1,1,0
1,-4.7,R-HSA-211897,Cytochrome P450 - arranged by substrate type,M1,1,0
1,-3.2,GO:0071356,cellular response to tumor necrosis factor,M1,1,0
1,-3.4,WP2884,NRF2 pathway,M1,1,0
1,-2.1,GO:0009746,response to hexose,M1,1,0
1,-4,GO:0034612,response to tumor necrosis factor,M1,1,0
1,-2.5,GO:0006633,fatty acid biosynthetic process,M1,1,0
1,-5,GO:0071466,cellular response to xenobiotic stimulus,M1,1,0
1,-4.5,hsa05204,Chemical carcinogenesis - DNA adducts,M1,1,0
1,-3.1,GO:0043434,response to peptide hormone,M1,1,0
1,-4,R-HSA-1989781,PPARA activates gene expression,M1,1,0
1,-2.1,WP4239,Epithelial to mesenchymal transition in colorectal cancer,M1,1,0
1,-3.4,GO:0071216,cellular response to biotic stimulus,M1,1,0
1,-11,WP2882,Nuclear receptors meta pathway,M1,1,0
1,-2.1,hsa05206,MicroRNAs in cancer,M1,1,0
1,-2.1,GO:0050729,positive regulation of inflammatory response,M1,1,0
1,-3,GO:0015849,organic acid transport,M1,1,0
1,-3.9,GO:0045923,positive regulation of fatty acid metabolic process,M1,1,0
1,-2,GO:0001819,positive regulation of cytokine production,M1,1,0
1,-3.3,WP43,Oxidation by cytochrome P450,M1,1,0
1,-3.2,GO:0002931,response to ischemia,M1,1,0
1,-3.9,GO:0033559,unsaturated fatty acid metabolic process,M1,1,0
1,-2.9,R-HSA-381119,Unfolded Protein Response (UPR),M1,1,0
1,-2.4,GO:0097237,cellular response to toxic substance,M1,1,0
1,-5.4,GO:0008202,steroid metabolic process,M1,1,0
1,-5,hsa04913,Ovarian steroidogenesis,M1,1,0
1,-2.7,GO:0042633,hair cycle,M1,1,0
1,-2.5,GO:0044409,symbiont entry into host,M1,1,0
1,-2.4,GO:0008610,lipid biosynthetic process,M1,1,0
1,-2.1,GO:0071805,potassium ion transmembrane transport,M1,1,0
1,-2.3,GO:0061008,hepaticobiliary system development,M1,1,0
1,-2.3,GO:0048589,developmental growth,M1,1,0
1,-3.9,GO:0031349,positive regulation of defense response,M1,1,0
1,-4,WP299,Nuclear receptors in lipid metabolism and toxicity,M1,1,0
1,-4.1,GO:0016101,diterpenoid metabolic process,M1,1,0
1,-7.2,GO:0031667,response to nutrient levels,M1,1,0
1,-2.2,GO:1901615,organic hydroxy compound metabolic process,M1,1,0
1,-2.2,GO:0051054,positive regulation of DNA metabolic process,M1,1,0
1,-2.1,GO:0062013,positive regulation of small molecule metabolic process,M1,1,0
1,-3.8,GO:0042445,hormone metabolic process,M1,1,0
1,-3.7,R-HSA-211859,Biological oxidations,M1,1,0
1,-6.1,GO:0032787,monocarboxylic acid metabolic process,M1,1,0
1,-5.4,WP2881,Estrogen receptor pathway,M1,1,0
1,-2.7,GO:0010038,response to metal ion,M1,1,0
1,-4.2,GO:0046209,nitric oxide metabolic process,M1,1,0
1,-4.2,GO:0033280,response to vitamin D,M1,1,0
1,-2.7,GO:0001525,angiogenesis,M1,1,0
1,-2.4,GO:0048880,sensory system development,M1,1,0
1,-2.1,R-HSA-2262752,Cellular responses to stress,M1,1,0
1,-2.2,GO:0030855,epithelial cell differentiation,M1,1,0
1,-2.1,GO:0051147,regulation of muscle cell differentiation,M1,1,0
1,-3.9,GO:0006721,terpenoid metabolic process,M1,1,0
1,-4.8,GO:0019369,arachidonate metabolic process,M1,1,0
1,-4.2,GO:0035239,tube morphogenesis,M1,1,0
1,-3.1,GO:0048545,response to steroid hormone,M1,1,0
1,-3.7,WP4659,Gastrin signaling,M1,1,0
1,-3.5,GO:0045471,response to ethanol,M1,1,0
1,-2.5,GO:0001654,eye development,M1,1,0
1,-2.4,GO:0150063,visual system development,M1,1,0
1,-2,GO:0071559,response to transforming growth factor beta,M1,1,0
1,-3.7,M60,PID NFAT TFPATHWAY,M1,1,0
1,-3.6,GO:0006720,isoprenoid metabolic process,M1,1,0
1,-6.3,GO:0019752,carboxylic acid metabolic process,M1,1,0
1,-4.1,GO:0009617,response to bacterium,M1,1,0
1,-2.2,GO:0051701,biological process involved in interaction with host,M1,1,0
1,-8.1,GO:0007584,response to nutrient,M1,1,0
1,-3.6,GO:0070482,response to oxygen levels,M1,1,0
1,-3,GO:0046942,carboxylic acid transport,M1,1,0
1,-2.7,GO:0042303,molting cycle,M1,1,0
1,-2.5,GO:0046718,symbiont entry into host cell,M1,1,0
1,-3,GO:0001666,response to hypoxia,M1,1,0
1,-2.1,GO:0031099,regeneration,M1,1,0
1,-2.7,GO:0015695,organic cation transport,M1,1,0
1,-2.6,GO:0097306,cellular response to alcohol,M1,1,0
